readers,average_rating,score,supported_countries,interaction_readers,isbn,title,author,author_key,year,publisher,cover_url
121,8.380165289256198,8.159503399187777,6,255,0312924585,Silence of the Lambs,Thomas Harris,thomas harris,1991,St. Martin's Press,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg
707,8.185289957567186,8.148315827293409,11,1295,0316666343,The Lovely Bones: A Novel,Alice Sebold,alice sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
188,8.28191489361702,8.144012946475252,3,376,0060915544,The Bean Trees,Barbara Kingsolver,barbara kingsolver,1989,Perennial,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
89,8.415730337078651,8.131475404756186,5,231,0451166892,The Pillars of the Earth,Ken Follett,ken follett,1996,Signet Book,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
90,8.411111111111111,8.130536294722212,3,159,0743227441,The Other Boleyn Girl,Philippa Gregory,philippa gregory,2002,Touchstone,http://images.amazon.com/images/P/0743227441.01.LZZZZZZZ.jpg
52,8.615384615384615,8.130147855501077,3,112,0064401847,Bridge to Terabithia,Katherine Paterson,katherine paterson,1987,HarperTrophy,http://images.amazon.com/images/P/0064401847.01.LZZZZZZZ.jpg
70,8.485714285714286,8.127292343842582,4,131,0451169530,The Stand: Complete and Uncut,Stephen King,stephen king,1991,Signet Book,http://images.amazon.com/images/P/0451169530.01.LZZZZZZZ.jpg
383,8.182767624020888,8.118418201526813,4,723,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,anita diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
77,8.435064935064934,8.116339222528424,3,148,0440215625,Dragonfly in Amber,DIANA GABALDON,diana gabaldon,1993,Dell,http://images.amazon.com/images/P/0440215625.01.LZZZZZZZ.jpg
51,8.588235294117647,8.111634467931781,4,91,1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,mark haddon,2004,Vintage,http://images.amazon.com/images/P/1400032717.01.LZZZZZZZ.jpg
54,8.555555555555555,8.108414242895286,3,105,0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,richard bach,1994,Dell Publishing Company,http://images.amazon.com/images/P/0440204887.01.LZZZZZZZ.jpg
120,8.3,8.101618125065352,6,232,0451526341,Animal Farm,George Orwell,george orwell,2004,Signet,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
80,8.3875,8.094423702008537,3,134,0553348981,Jitterbug Perfume,TOM ROBBINS,tom robbins,1990,Bantam,http://images.amazon.com/images/P/0553348981.01.LZZZZZZZ.jpg
91,8.351648351648352,8.09414951249014,4,178,0446532231,"Dude, Where's My Country?",Michael Moore,michael moore,2003,Warner Books,http://images.amazon.com/images/P/0446532231.01.LZZZZZZZ.jpg
56,8.5,8.087500766614243,3,120,1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,lynne truss,2004,Gotham Books,http://images.amazon.com/images/P/1592400876.01.LZZZZZZZ.jpg
69,8.405797101449275,8.077941859337058,3,131,0451160916,The Shining,Stephen King,stephen king,1997,Signet Book,http://images.amazon.com/images/P/0451160916.01.LZZZZZZZ.jpg
72,8.38888888888889,8.076025256238605,3,157,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,gabriel garcia marquez,1998,Perennial,http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg
218,8.178899082568808,8.075653288287725,3,494,0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,barbara kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
295,8.142372881355932,8.06746400365539,4,585,0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,billie letts,1998,Warner Books,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
88,8.318181818181818,8.067210733776157,5,169,0142001430,Year of Wonders,Geraldine Brooks,geraldine brooks,2002,Penguin Books,http://images.amazon.com/images/P/0142001430.01.LZZZZZZZ.jpg
106,8.264150943396226,8.059455649109678,3,274,0060987561,I Know This Much Is True,Wally Lamb,wally lamb,1999,Regan Books,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
208,8.153846153846153,8.051453803337635,5,554,0804106304,The Joy Luck Club,Amy Tan,amy tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
98,8.26530612244898,8.049155954466958,4,222,068484267X,Angela's Ashes: A Memoir,Frank McCourt,frank mccourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
67,8.35820895522388,8.04508616462487,3,136,038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,margaret atwood,1998,Anchor,http://images.amazon.com/images/P/038549081X.01.LZZZZZZZ.jpg
133,8.19548872180451,8.039754542410437,3,301,0316096199,Lucky : A Memoir,Alice Sebold,alice sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg
335,8.086567164179105,8.02668852275613,11,658,0156027321,Life of Pi,Yann Martel,yann martel,2003,Harvest Books,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
159,8.150943396226415,8.025239623258898,3,350,0060934417,Bel Canto: A Novel,Ann Patchett,ann patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
106,8.20754716981132,8.02099411064814,3,205,0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,bill bryson,1999,Broadway Books,http://images.amazon.com/images/P/0767902521.01.LZZZZZZZ.jpg
138,8.159420289855072,8.017420645005902,3,253,0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,barbara kingsolver,2001,Perennial,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg
125,8.172,8.01585760720634,5,263,0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,paulo coelho,1995,HarperSanFrancisco,http://images.amazon.com/images/P/0062502182.01.LZZZZZZZ.jpg
69,8.289855072463768,8.010714968580755,3,146,0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,ken kesey,1989,Signet Book,http://images.amazon.com/images/P/0451163966.01.LZZZZZZZ.jpg
71,8.28169014084507,8.010537861662064,4,178,0553273914,The House of the Spirits,Isabel Allende,isabel allende,1986,Bantam Books,http://images.amazon.com/images/P/0553273914.01.LZZZZZZZ.jpg
150,8.133333333333333,8.00637540630555,3,365,0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,jon krakauer,1998,Anchor,http://images.amazon.com/images/P/0385492081.01.LZZZZZZZ.jpg
77,8.246753246753247,8.002165994181967,4,177,0060199652,Prodigal Summer,Barbara Kingsolver,barbara kingsolver,2000,HarperCollins,http://images.amazon.com/images/P/0060199652.01.LZZZZZZZ.jpg
54,8.333333333333334,7.993029627510671,5,112,0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,mark haddon,2003,Doubleday,http://images.amazon.com/images/P/0385512104.01.LZZZZZZZ.jpg
50,8.36,7.9927508126110975,4,98,0679723161,Lolita (Vintage International),VLADIMIR NABOKOV,vladimir nabokov,1989,Vintage,http://images.amazon.com/images/P/0679723161.01.LZZZZZZZ.jpg
87,8.195402298850574,7.987409352270874,3,168,0441003257,Good Omens,Neil Gaiman,neil gaiman,1996,Ace Books,http://images.amazon.com/images/P/0441003257.01.LZZZZZZZ.jpg
97,8.164948453608247,7.981463137830679,7,177,0380977788,Coraline,Neil Gaiman,neil gaiman,2002,HarperCollins,http://images.amazon.com/images/P/0380977788.01.LZZZZZZZ.jpg
247,8.048582995951417,7.977357175963332,4,491,0743418174,Good in Bed,Jennifer Weiner,jennifer weiner,2002,Washington Square Press,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg
58,8.275862068965518,7.974769270936202,3,118,0140042598,On the Road,Jack Kerouac,jack kerouac,1991,Penguin Books,http://images.amazon.com/images/P/0140042598.01.LZZZZZZZ.jpg
56,8.285714285714286,7.974293219444432,3,181,0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,sue grafton,1987,Bantam,http://images.amazon.com/images/P/0553280368.01.LZZZZZZZ.jpg
86,8.174418604651162,7.972610891625807,4,163,0099771519,Memoirs of a Geisha Uk,Arthur Golden,arthur golden,,Trafalgar Square,http://images.amazon.com/images/P/0099771519.01.LZZZZZZZ.jpg
75,8.2,7.970200650088878,4,149,0684833395,Catch 22,Joseph Heller,joseph heller,1996,Simon &amp; Schuster,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg
65,8.23076923076923,7.9676094022705195,3,139,0786867647,Lucky Man: A Memoir,Michael J. Fox,michael j. fox,2002,Hyperion,http://images.amazon.com/images/P/0786867647.01.LZZZZZZZ.jpg
65,8.23076923076923,7.9676094022705195,3,104,0671027344,The Perks of Being a Wallflower,Stephen Chbosky,stephen chbosky,1999,MTV,http://images.amazon.com/images/P/0671027344.01.LZZZZZZZ.jpg
332,8.018072289156626,7.966688694400811,7,647,0452282152,Girl with a Pearl Earring,Tracy Chevalier,tracy chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
61,8.245901639344263,7.966442173523512,3,130,0385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,ann brashares,2003,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg
101,8.128712871287128,7.962086630868277,5,209,0451169514,It,Stephen King,stephen king,1997,Signet Book,http://images.amazon.com/images/P/0451169514.01.LZZZZZZZ.jpg
133,8.086466165413533,7.96051956973284,3,279,0451169522,Misery,Stephen King,stephen king,2004,Penguin USA (Paper),http://images.amazon.com/images/P/0451169522.01.LZZZZZZZ.jpg
183,8.049180327868852,7.958262151335235,5,431,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,alexander mccall smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg
309,8.009708737864077,7.95619799794181,6,661,0671027360,Angels &amp; Demons,Dan Brown,dan brown,2001,Pocket Star,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
145,8.065517241379311,7.9526927244159475,5,263,0380789019,Neverwhere,Neil Gaiman,neil gaiman,1998,Avon,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
59,8.209039548022599,7.941361601783881,3,116,0380804557,Stardust,Neil Gaiman,neil gaiman,2003,Avon,http://images.amazon.com/images/P/0380804557.01.LZZZZZZZ.jpg
74,8.14864864864865,7.937702268234756,3,176,0671042262,The Blue Nowhere : A Novel,Jeffery Deaver,jeffery deaver,2002,Pocket,http://images.amazon.com/images/P/0671042262.01.LZZZZZZZ.jpg
213,8.009389671361502,7.936407153084068,3,545,0440211727,A Time to Kill,JOHN GRISHAM,john grisham,1992,Dell,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
119,8.058823529411764,7.9306217826101175,4,218,0060929871,Brave New World,Aldous Huxley,aldous huxley,1998,Perennial,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg
118,8.042372881355933,7.918304055125653,3,303,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,james patterson,1993,Warner Books,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
130,8.03076923076923,7.918194895895055,5,284,0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,dai sijie,2002,Anchor,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg
80,8.1,7.91750062508546,3,199,0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,patricia d. cornwell,1994,Avon,http://images.amazon.com/images/P/0380718340.01.LZZZZZZZ.jpg
